Date,Day,Sleep Hour,Exercise Hour,Study Hour,StudyDS Hour,Work Hour,End of the day Feeling (0 to 10),,,,
13-Jan,Thursday,8,2,2,0.25,4,7,,,,
14-Jan,Friday,9,2,2,0,4,8,,,,
15-Jan,Saturday,8,2,1,0,4,6,,,,
16-Jan,Sunday,11,2,0,0,4,8,,,,"Feeling: 0 (‘not at all’) to 10 (‘extremely’) of how stressed, anxious or down you are feeling"
17-Jan,Monday,8,3,2,0,4,8,,,,
18-Jan,Tuesday,8,2,2,1.5,4,8,,,,Convert minute to hr in this form
19-Jan,Wednesday,7,3,1,0.25,4,7,,,,
20-Jan,Thursday,8,2,1,1,4,7,,,,
21-Jan,Friday,8,2,0,0,4,7,,,,
22-Jan,Saturday,7,2,0,0,4,8,,,,
23-Jan,Sunday,7,7,1,0,6,7,,,,
24-Jan,Monday,7,3,1,0,4,8,,,,
25-Jan,Tuesday,8,2,2,1.5,4,8,,,,
26-Jan,Wednesday,7,3,1,0,4,7,,,,
27-Jan,Thursday,7,2,2,1,4,8,,,,
28-Jan,Friday,8,2,0,0,4,7,,,,
29-Jan,Saturday,7,2,0,0,4,8,,,,
30-Jan,Sunday,8,7,3,2,6,7,,,,
31-Jan,Monday,8,3,0,0,4,7,,,,
1-Feb,Tuesday,7,2,2,1,4,8,,,,
2-Feb,Wednesday,7,3,2,0,4,8,,,,
3-Feb,Thursday,8,2,2,1,4,8,,,,
4-Feb,Friday,8,2,1,0,4,7,,,,
5-Feb,Saturday,8,2,0,0,4,7,,,,
6-Feb,Sunday,8,8,2,2,7,9,,,,
7-Feb,Monday,8,3,0,0,4,7,,,,
8-Feb,Tuesday,7,2,2,1,4,8,,,,
9-Feb,Wednesday,6,3,2,0,5,8,,,,
10-Feb,Thursday,7,2,2,1,4,7,,,,
11-Feb,Friday,8,2,2,0,4,8,,,,
12-Feb,Saturday,8,2,0,0,4,8,,,,
13-Feb,Sunday,6,8,0,0,7,9,,,,
14-Feb,Monday,8,3,2,2,4,8,,,,
15-Feb,Tuesday,6,2,2,1,4,7,,,,
16-Feb,Wednesday,8,3,1,0,4,7,,,,
17-Feb,Thursday,7,2,2,1,4,7,,,,
18-Feb,Friday,7,2,1,0,4,8,,,,
19-Feb,Saturday,8,2,0,0,4,8,,,,
20-Feb,Sunday,7,7,0,0,6,7,,,,
21-Feb,Monday,7,3,1,0,4,7,,,,
22-Feb,Tuesday,8,2,1,1,4,8,,,,
23-Feb,Wednesday,8,3,1,0,4,8,,,,
24-Feb,Thursday,7,2,2,1,4,8,,,,
25-Feb,Friday,7,2,0,0,4,8,,,,
26-Feb,Saturday,8,2,0,0,4,7,,,,
27-Feb,Sunday,8,6,0,0,7,8,,,,
28-Feb,Monday,7,3,0,0,4,7,,,,
1-Mar,Tuesday,7,2,0,0,4,8,,,,
2-Mar,Wednesday,6,3,0,0,4,8,,,,
3-Mar,Thursday,6,2,0,0,4,9,,,,
4-Mar,Friday,7,2,0,0,4,9,,,,
5-Mar,Saturday,7,2,3,2,4,8,,,,
6-Mar,Sunday,7,6,3,1,6,8,,,,
7-Mar,Monday,6,3,3,1,4,7,,,,
8-Mar,Tuesday,6,2,2,1,4,7,,,,
9-Mar,Wednesday,6,3,2,0,4,8,,,,
10-Mar,Thursday,8,2,1,1,4,8,,,,
11-Mar,Friday,7,2,1,1,4,8,,,,
12-Mar,Saturday,8,2,1,1,4,7,,,,
13-Mar,Sunday,8,2,1,1,4,7,,,,
14-Mar,Monday,6,2,1,0,4,7,,,,
15-Mar,Tuesday,5,2,1,1,4,8,,,,
16-Mar,Wednesday,6,2,1,0,4,8,,,,
17-Mar,Thursday,8,2,1,1,4,9,,,,
18-Mar,Friday,7,1,1,0,1,8,,,,
19-Mar,Saturday,8,2,0,0,2,8,,,,
20-Mar,Sunday,8,2,0,0,3,9,,,,
21-Mar,Monday,9,3,2,1,3,7,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
